Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B10, B11, B12, B13, B14, B2, B3, B4, B5, B6, B7, B8, B9",BatteryV2,14,Battery,
C1,0402,1,100nF,
C10,0402,1,100nF,
C11,0402,1,100nF,
C12,0402,1,100nF,
C13,0402,1,100nF,
C14,0402,1,100nF,
C16,0402,1,100nF,
C17,0402,1,100nF,
C18,0402,1,100nF,
C19,0402,1,100nF,
C2,0402,1,100nF,
C20,0402,1,100nF,
C21,0402,1,100nF,
C22,0402,1,12pF,
C23,0402,1,12pF,
C24,0402,1,4.7uF,
C25,0402,1,4.7uF,
C26,0402,1,100nF,
C27,0402,1,4.7uF,
C28,0402,1,1uF,
C29,0402,1,1uF,
C3,0402,1,100nF,
C30,0402,1,47nF,
C31,0402,1,100nF,
C32,0402,1,100nF,
C33,0402,1,100nF,
C34,0402,1,820pF,
C35,0402,1,1pF,
C36,0402,1,12pF,
C37,0402,1,12pF,
C38,0402,1,100pF,
C39,0402,1,1pF,
C4,0402,1,100nF,
C40,0402,1,1.5pF,
C41,0402,1,0.47uF,
C42,0402,1,0.1uF,
C43,0603,1,47uF,
C44,1206,1,100uF,
C45,0402,1,100nF,
C46,0402,1,100nF,
C47,0402,1,1uF,
C48,0402,1,0.1uF,
C49,0402,1,0.1uF,
C5,0402,1,100nF,
C6,0402,1,100nF,
C7,0402,1,100nF,
C8,0402,1,100nF,
C9,0402,1,100nF,
"D1, D3",D_SOD-323F,2,1N5819,
D2,0402,1,BLUE,
D4,0402,1,RED,
J1,USB-C_C168688,1,USB-C USB 2.0 MC-372,
"JP1, JP2",SolderBridge,2,SolderJumper_2_Open,
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K2, K3, K4, K5, K6, K7, K8, K9",GateronHotswap,18,KeyboardSwitch,
L1,0402,1,15nH,
L2,0402,1,10uH,
L3,0402,1,3.9nH,
L4,L_Taiyo-Yuden_NR-40xx,1,22uH,
"Q1, Q2",SOT-23,2,AO3407,
"Q10, Q19, Q20, Q21, Q22, Q27, Q28, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23-6-Small,14,8205A,
"Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q23, Q24, Q25, Q26, Q30, Q31",SOT-23-6-Small,14,DW01,
Q33,SOT-23,1,AO3400A,
R1,0402,1,100K,
R10,0402,1,1K,
R11,0402,1,100,
R12,0402,1,100,
R13,0402,1,100,
R14,0402,1,100,
R15,0402,1,100,
R16,0402,1,100,
R17,0402,1,100,
R18,0402,1,100,
R19,0402,1,1K,
R2,0402,1,5.1K,
R20,0402,1,1K,
R21,0402,1,1K,
R22,0402,1,1K,
R23,0402,1,100,
R24,0402,1,100,
R25,0402,1,100,
R26,0402,1,100,
R27,0402,1,1K,
R28,0402,1,1K,
R3,0402,1,1K,
R30,0402,1,100,
R31,0402,1,100,
R33,0402,1,5.1K,
R34,0402,1,5.1K,
R35,0402,1,5.1K,
R36,0402,1,4.7K,
R37,0402,1,4.7K,
R38,0402,1,1K,
R39,0402,1,0R,
R4,0402,1,1K,
R40,0402,1,820K,
R41,0402,1,2M,
R42,1206,1,0.010,
R43,0402,1,10k,
R44,0402,1,1K,
R45,0402,1,12K,
R46,0402,1,2M,
R47,0402,1,4.7K,
R48,0402,1,10K,
R49,0402,1,10K,
R5,0402,1,1K,
R50,0402,1,10K,
R51,0402,1,10K,
R52,0402,1,10K,
R53,0402,1,10K,
R54,0402,1,10K,
R55,0402,1,10K,
R56,0402,1,10K,
R6,0402,1,1K,
R7,0402,1,1K,
R8,0402,1,1K,
R9,0402,1,1K,
TH1,0402,1,Thermistor_NTC,
U1,SOT-23-5,1,AP2112K-3.3,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U4, U5, U6, U7, U8, U9",Led-ARGB,24,WS2812B_-_1010,
"U2, U29",Button,2,Button,
U28,SOT-23-6-Small,1,USBLC6-2SC6,
U3,SOT-23-6,1,MAX16054,
U30,AQFN-73-1EP_7x7mm_P0.5mm_NRF52840-custom,1,nRF52840_aQFN73,
U31,WLP-9_1.448x1.468mm_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm,1,MAX17055,
U32,SOT-89-3,1,BL8530_501SM,
U33,SOT-23-5,1,TP4054,
U34,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,LSM6DS33,
U35,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U36,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT30-DIS,
U37,APDS-9960,1,APDS-9960,
U38,SPK0415HM4H,1,PDM_Mic,
U39,WSON8,1,GD25Q,
U40,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,
X1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768 kHz,
X2,crystal 32mhz,1,32MHZ,
